Date,Open,High,Low,Close,Adj Close,Volume
22/01/2015,110.260002,112.470001,109.720001,112.400002,104.82679,53796400
23/01/2015,112.300003,113.75,111.529999,112.980003,105.367699,46464800
26/01/2015,113.739998,114.360001,112.800003,113.099998,105.47963,55615000
27/01/2015,112.419998,112.480003,109.029999,109.139999,101.78643,95568700
28/01/2015,117.629997,118.120003,115.309998,115.309998,107.540718,146477100
29/01/2015,116.32,119.190002,115.559998,118.900002,110.888824,84436400
30/01/2015,118.400002,120,116.849998,117.160004,109.266068,83745500
02/02/2015,118.050003,119.169998,116.080002,118.629997,110.637016,62739100
03/02/2015,118.5,119.089996,117.610001,118.650002,110.65567,51915700
04/02/2015,118.5,120.510002,118.309998,119.559998,111.504333,70149700
05/02/2015,120.019997,120.230003,119.25,119.940002,112.300217,42246200
06/02/2015,120.019997,120.25,118.449997,118.93,111.354553,43706600
09/02/2015,118.550003,119.839996,118.43,119.720001,112.094223,38889800
10/02/2015,120.169998,122.150002,120.160004,122.019997,114.247726,62008500
11/02/2015,122.769997,124.919998,122.5,124.879997,116.925545,73561800
12/02/2015,126.059998,127.480003,125.57,126.459999,118.404915,74474500
13/02/2015,127.279999,127.279999,125.650002,127.080002,118.985435,54272200
17/02/2015,127.489998,128.880005,126.919998,127.830002,119.687645,63152400
18/02/2015,127.629997,128.779999,127.449997,128.720001,120.520966,44891700
19/02/2015,128.479996,129.029999,128.330002,128.449997,120.26815,37362400
20/02/2015,128.619995,129.5,128.050003,129.5,121.251266,48948400
23/02/2015,130.020004,133,129.660004,133,124.528328,70974100
24/02/2015,132.940002,133.600006,131.169998,132.169998,123.751205,69228100
25/02/2015,131.559998,131.600006,128.149994,128.789993,120.586487,74711700
26/02/2015,128.789993,130.869995,126.610001,130.419998,122.112648,91287500
27/02/2015,130,130.570007,128.240005,128.460007,120.277527,62014800
02/03/2015,129.25,130.279999,128.300003,129.089996,120.867393,48096700
03/03/2015,128.960007,129.520004,128.089996,129.360001,121.120193,37816300
04/03/2015,129.100006,129.559998,128.320007,128.539993,120.352425,31666300
05/03/2015,128.580002,128.75,125.760002,126.410004,118.358116,56517100
06/03/2015,128.399994,129.369995,126.260002,126.599998,118.535995,72842100
09/03/2015,127.959999,129.570007,125.059998,127.139999,119.041603,88528500
10/03/2015,126.410004,127.220001,123.800003,124.510002,116.579124,68856600
11/03/2015,124.75,124.769997,122.110001,122.239998,114.453705,68939000
12/03/2015,122.309998,124.900002,121.629997,124.449997,116.522942,48362700
13/03/2015,124.400002,125.400002,122.580002,123.589996,115.717712,51827300
16/03/2015,123.879997,124.949997,122.870003,124.949997,116.991081,35874300
17/03/2015,125.900002,127.32,125.650002,127.040001,118.947968,51023100
18/03/2015,127,129.160004,126.370003,128.470001,120.286873,65270900
19/03/2015,128.75,129.25,127.400002,127.5,119.37867,45809500
20/03/2015,128.25,128.399994,125.160004,125.900002,117.880585,68695100
23/03/2015,127.120003,127.849998,126.519997,127.209999,119.107147,37709700
24/03/2015,127.230003,128.039993,126.559998,126.690002,118.620277,32842300
25/03/2015,126.540001,126.82,123.379997,123.379997,115.521095,51655200
26/03/2015,122.760002,124.879997,122.599998,124.239998,116.326332,47572900
27/03/2015,124.57,124.699997,122.910004,123.25,115.399384,39546200
30/03/2015,124.050003,126.400002,124,126.370003,118.320656,47099700
31/03/2015,126.089996,126.489998,124.360001,124.43,116.504211,42090600
